060,Pokémon Breeder,Pokémon-Züchter,
061,Pokémon Ranger,Pokémon Ranger,
062,Pokémon Ranger,Pokémon Ranger,
063,Owner,Gastronom,
064,Madame,Madame,
065,Swimmers,Schwimmerpaar,
066,Monsieur,Monsieur,
067,Maid,Zofe,
068,Fairy Tale Girl,Träumerin,
069,Hiker,Wanderer,
070,Honeymooners,Hochzeitsreisende,
071,Chef,Koch,
072,Rangers,Ranger,
073,Roller Skater,Rollerskaterin,
074,Roller Skater,Rollerskater,
075,Punk Couple,Punker-Pärchen,
076,Pokémon Trainer,Pokémon-Trainer,
077,Pokémon Trainer,Pokémon-Trainer,
078,Driver,Fahrer,
079,Driver,Fahrer,
080,Driver,Fahrer,
081,Youngster,Teenager,
082,Bug Catcher,Käfersammler,
083,Lass,Göre,
084,Aroma Lady,Aromalady,
085,Twins,Zwillinge,
086,Fisherman,Angler,
087,Schoolkid,Schulkind,
088,Schoolkid,Schulkind,
089,Team Aqua,Team Aqua,
090,Guitarist,Gitarrist,
091,Sailor,Matrose,
092,Tuber,Planscherin,
093,Triathlete,Triathlet,
094,Collector,Pokémon-Sammler,
095,Black Belt,Schwarzgurt,
096,Battle Girl,Kämpferin,
097,Lady,Lady,
098,Pokémon Breeder,Pokémon-Züchter,
099,Pokémon Breeder,Pokémon-Züchterin,
100,Beauty,Schönheit,
101,The Winstrates’,Sihgers,
102,Hiker,Wanderer,
103,Camper,Camper,
104,Picnicker,Picknickerin,
105,Kindler,Hitzkopf,
106,Poké Maniac,Pokémaniac,
107,Expert,Experte,
108,Bird Keeper,Vogelfänger,
109,Bug Maniac,Käfermaniac,
110,Pokémon Ranger,Pokémon Ranger,
111,Pokémon Ranger,Pokémon Ranger,
112,Ninja Boy,Ninjajunge,
113,Dragon Tamer,Drachenprofi,
114,Psychic,Psycho,
115,Psychic,Psycho,
116,Triathlete,Triathlet,
117,Interviewers,Interviewer,
118,Aqua Leader,Team-Aqua-Boss,
119,Aqua Admin,Aqua-Vorstand,
120,Tuber,Planscher,
121,Hex Maniac,Hexe,
122,Magma Leader,Team-Magma-Boss,
123,Team Magma,Team Magma,
124,Magma Admin,Magma-Vorstand,
125,Team Aqua,Team Aqua,
126,Magma Admin,Magma-Vorstand,
127,Team Magma,Team Magma,
128,Parasol Lady,Schirmdame,
129,Gentleman,Gentleman,
130,Aqua Admin,Aqua-Vorstand,
131,Magma Admin,Magma-Vorstand,
132,Young Couple,Junges Glück,
133,Expert,Expertin,
134,Triathlete,Triathlet,
135,Pokémon Trainer,Pokémon-Trainer,
136,Sis & Bro,Geschwister,
137,Poké Fan,Pokéfan,
138,Leader,Arenaleiterin,
139,Leader,Arenaleiter,
140,Leader,Arenaleiter,
141,Leader,Arenaleiterin,
142,Leader,Arenaleiter,
143,Leader,Arenaleiterin,
144,Leaders,Arenaleiter,
145,Leader,Arenaleiter,
146,Ruin Maniac,Ruinenmaniac,
147,The Winstrates’,Sihgers,
148,Teammates,Senior&Junior,
149,Old Couple,Altes Paar,
150,The Winstrates’,Sihgers,
151,The Winstrates’,Sihgers,
152,Poké Fan,Pokéfan,
153,Team Aqua,Team Aqua,
154,Team Magma,Team Magma,
155,Proprietor,Inhaber,
156,Pokémon Trainer,Pokémon-Trainer,
157,Fairy Tale Girl,Träumerin,
158,Backpacker,Backpacker,
159,Brains & Brawn,Grips&Muckis,
160,Scuba Diver,Taucher,
161,Free Diver,Taucherin,
162,Mysterious Sisters,Schräge Schwestern,
163,Street Thug,Raubein,
164,Delinquent,Halbstarke,
165,Ace Trainer,Ass-Trainer,
166,Ace Trainer,Ass-Trainer,
167,Ace Duo,Ass-Duo,
168,Pokémon Trainer,Pokémon-Trainer,
169,Fare Prince,Gastro-Meilen-König,
170,Secret Base Expert,Geheimbasen-Meister,
171,Secret Base Trainer,Geheimbasis,
