@PEOPLE;PERSONEN;ひと;PERSONNES;AMICI;GENTE;
I;ICH;あたし;JE;IO;LA MENDA;
YOU;DU;あなた;TU;TU;TÚ;
MOTHER;MUTTER;おかあさん;MERE;MAMMA;MADRE;
GRANDFATHER;GROSSVATER;おじいさん;GRAND-PERE;NONNO;ABUELO;
UNCLE;ONKEL;おじさん;ONCLE;ZIO;TÍO;
FATHER;VATER;おとうさん;PERE;PAPÀ;PADRE;
BOY;JUNGE;おとこのこ;GARÇON;RAGAZZO;NIÑO;
ADULT;ERWACHSENER;おとな;ADULTE;ADULTO;ADULTO;
BROTHER;BRUDER;おにいさん;GRAND-FRERE;FRATELLO;HERMANO;
SISTER;SCHWESTER;おねえさん;GRANDE-SŒUR;SORELLA;HERMANA;
GRANDMOTHER;GROSSMUTTER;おばあさん;GRAND-MERE;NONNA;ABUELA;
AUNT;TANTE;おばさん;TANTE;ZIA;TÍA;
PARENT;ELTERN;おや;PARENTS;GENITORI;PADRES;
OLD MAN;ALTER MANN;オヤジ;VIEILLARD;ANZIANO;ANCIANO;
ME;MICH;おれさま;MOI;PROPRIO IO;MÍ;
GIRL;MÄDCHEN;おんなのこ;FILLE;BIMBA;NIÑA;
GAL;GÖRE;ガール;DEMOISELLE;RAGAZZA;CHICA;
FAMILY;FAMILIE;かぞく;FAMILLE;FAMIGLIA;FAMILIA;
HER;IHR;かのじょ;TA;LEI;ELLA;
HIM;IHM;かれ;LUI;LUI;ÉL;
YOU;ER;きみ;TOI;EHI TU;A TI;
SIBLINGS;GESCHWISTER;きょうだい;FRATRIE;FRATELLI;HERMANOS;
KIDS;KINDER;こども;ENFANTS;BAMBINI;NIÑOS;
MR.;HERR;さま;MONSIEUR;SIGNOR;SEÑOR;
MS.;FRAU;さん;MADAME;SIGNORA;SEÑORA;
MYSELF;MIR;じぶん;MOI-MEME;ME STESSO;YO MISMO;
WHO;WER;だれ;QUI;CHI;QUIÉN;
FRIEND;FREUND;ともだち;AMI;AMICO;AMIGO;
ALLY;VERBÜNDETER;なかま;ALLIE;COMPAGNO;ALIADO;
PERSON;PERSON;ひと;PERSONNE;PERSONA;PERSONA;
KIDS;TYPE;ボーイ;GAMINS;RAGAZZINI;CHICOS;
I;IHNEN;ボク;J';IO!;EL MAKI;
EVERYONE;ALLE;みんな;TOUS;CHIUNQUE;TODOS;
RIVAL;RIVALE;ライバル;RIVAL;RIVALE;RIVAL;
I;WIR HABEN;わし;MOI JE;IO!!!;SERVIDOR;
I;SIE;わたし;MOI J';EGO;YO;
BABY;BABY;ベビー;BEBE;PICCINO;BEBÉ;
@GREETINGS;EMPFANG;あいさつ;POLITESSES;SALUTI;SALUDOS;
KONNICHIWA;KONNICHIWA;こんにちは;KONNICHIWA;こんにちは;KONNICHIWA;
HELLO;HELLO;hello;HELLO;HELLO;HELLO;
BONJOUR;BONJOUR;bonjour;BONJOUR;BONJOUR;BONJOUR;
CIAO;CIAO;ciao;CIAO;CIAO;CIAO;
HALLO;HALLO;hallo;HALLO;HALLO;HALLO;
HOLA;HOLA;hola;HOLA;HOLA;HOLA;
OH WELL;OH OH;あーあ;OH BON;VABBÈ;EN FIN;
AAH;WAAAH;あーん;AAH;AAH;AAH;
AHAHA;AHAHAHA;あはは;HA HA HA;AHAHAH;AJAJÁ;
HUH?;OH?;あら;HO;OH?;¿EH?;
THANKS;DANKE;ありがとう;MERCI BIEN;GRAZIE;GRACIAS;
NO PROBLEM;SICHERLICH;いいよ;PAS DE SOUCI;VA BENE COSÌ;SIN PROBLEMA;
NOPE;NÖ;いえ;NAN;NOOO...;NANAY;
YES;JA;イエス;OUI;SÌ;SÍ;
HERE GOES;HIER KOMMT;いくぜ;DEBUTONS;ED ECCO;AHÍ VA;
LET'S GO;LOS GEHT'S;いくよ;C'EST PARTI;FORZA!;VAMOS;
HERE I COME;HIER BIN ICH;いくわよ;J'ARRIVE;ECCOMI;ALLÁ VOY;
YEAH;YEAH;いやー;YAAAH;SÌÌÌ;SÍII;
WELCOME;WILLKOMMEN;いらっしゃい;BIENVENUE;BENVENUTI;BIENVENIDA;
URGH;ARGH;うう;URGH;URGH;ARGH;
LET ME THINK;ÄH, NEIN;ううん;HEU, NON;NON SO...;A VER;
HMM;HMM;うーん;HUMMM;UHMM...;MMM;
WHOA;WHOA;うおー;WOOOH;OH!;OAAA;
WROOOAAR!;WOOOAR;うおりゃー;GROOOAR;GRRR!;WROOOAAR;
WOW;WOW;うひょー;WAOUH;WOW;GUAU;
SNICKER;KICHER;うふふ;GLOUSSEMENT;RISOLINO;RISILLA;
CUTE LAUGH;NIEDLICHKEIT;うふん;RIRE GENE;SORRISETTO;RISITA;
UNBELIEVABLE;UNGLAUBLICH;うわー;INCROYABLE;PARADOSSALE;NO LO CREO;
CRIES;SCHREIT;うわーん;OUIN;STRILLI;BUAAA;
OK;O.K.;うん;OK;OK;VALE;
AGREE;RICHTIG!;ええ;D'ACCORD;AFFARE FATTO;ESTUPENDO;
EH?;HÄH?;えー;QUOI?;EH?;¿CÓMO?;
BOO-HOO;BUHUU;えーん;BOU-HOU;BUU UH;BU-HU;
HEHEHE;HÄHÄHÄ;えへへ;HE HE HE;EHEHEH;EH, JE, JEE;
HEY;HEH;おい;AIE AIE AIE;EHI;AY, AY, AY;
OH, YEAH;OH, YEAH;おお;OH, OUI;OH, SÌÌÌ!;OH, SÍII;
OH WOW!;OH;オー;OH, WAOUH;OH, WOW!;OH, GUAU;
HEEEY;HEEEY;おーい;HE HO;EHILÀ;HEEEY;
GREETINGS;TAG!;おっす;SALUTATIONS;SALUTI;SALUDOS;
OOPS;HUPS;おっと;OUPS;OOPS;HUY;
WELL DONE;GLÜCKWUNSCH;おめでとう;BRAVO;AUGURI;BIEN HECHO;
OH MY;OJE;がーん;HO LA LA;AIUTO!;OH, VAYA;
EEK;IGITT;キャー;OUILLE;PUAH!;EEK;
YAAAH;GRAAAH;ギャー;GAAAH;GRAAAH;YAAAH;
GIGGLE;KICHER LACH;クスクス;HI HI HOU;RISATINA;RISAS;
GIVE ME;DARF ICH...?;ください;DONNE-MOI;DAMMI;DAME;
GWAHAHAHA;GWAHAHAHA;ぐふふ;GRRR;UH UH UH;JA, JAA, JA;
UGH;AAAH;げっ;ARGH;PUH;UGH;
SORRY;SORRY;ゴメン;EXCUSE-MOI;SPIACENTE;CLEMENCIA;
FORGIVE ME;VERZEIHUNG;ごめんなさい;PARDONNE-MOI;PERDONAMI;DISCULPA;
I'M SORRY;SCHON GUT;ごめんね;EXCUSE;MI DISPIACE;PERDONA;
HEY!;HEY DA;こらっ;HE TOI;EHI!;OYE;
GOOD-BYE;TSCHÜSS;さようなら;AU REVOIR;ARRIVEDERCI;ADIÓS;
THANK YOU;DANKE SCHÖN;サンキュー;MERCI;TI RINGRAZIO;GRATITUD;
I'VE ARRIVED;ICH BIN DA;さんじょう;JE SUIS LA;SONO QUI;AQUÍ ESTOY;
WEEP;SCHNÜFF;しくしく;PLEURS;SOB SOB;LLORO;
PARDON ME;PARDON;しっけい;MES EXCUSES;SCUSAMI;PERDÓN;
SO SORRY;TUT MIR LEID;しつれい;JE M'EXCUSE;SCUSA TANTO;LO SIENTO;
SEE YA;BIS DANN;じゃーね;A PLUS;CI SI VEDE;NOS VEMOS;
EXCUSE ME;ENTSCHULDIGE;すみません;PARDON;CHIEDO SCUSA;PERDÓNAME;
OKAY THEN;NUN, DANN;それじゃ;EH BIEN;OKAY;GENIAL;
TUT;TSE;ちぇっ;PSHT;PST!;TUT;
BLUSH;ERRÖT;てへ;ÇA ME GENE;ARROSSISCO;RUBOR;
GO AHEAD;WEITER SO;どうぞ;VAS-Y;AVANTI;ADELANTE;
CHEERS;HURRA;どうも;MILLE MERCIS;GRAZIE MILLE;SALUD;
HEY?;HEY?;なあ;HE?;EHI?;¿HEY?;
WHAT'S UP?;WAS IST LOS?;なんじゃ;QU'Y A-T-IL?;COME VA?;¿QUÉ PASA?;
HUH?;WIE?;ねえ;HEIN;HUH?;¿QUÉ?;
NO;NEIN;ノー;NON;NO;NO;
SIGH;HACH;はぁー;PFF;SIGH;SUSPIRO;
HI;JAHAA;ハーイ;COMPRIS;D'ACCORDO;¿QUÉ TAL?;
YEP;OKAY;はい;OUAIP;SÌ!;AFIRMATIVO;
YEAH, YEAH;YEAH, YEAH;はいはい;OUAIS OUAIS;SÌ, SÌ!;SÍ, SÍ;
BYE-BYE;TSCHAU;バイバイ;BYE;BYE-BYE;ME VOY;
MEET YOU;BIS BALD;はじめまして;ENCHANTE;PIACERE!;QUEDAR;
HAHAHA;HAHAHA;はっはっは;HAHAHA;AHAHAHAH;AJÁ;
AIYEEH;AIYEEH;ひいー;AYAHHHH;EVVIVA;ANDA;
HIYAH;HIYAH;ひゃあ;ME VOILA;AHIMÈ;LA, LA;
MUHAHAHA;MUAHAHAHAHA;ふっふっふ;NIARK-NIARK;SOGGHIGNO;UAJA, JA;
LOL;BRÜLL LACH;ププ;TROP DROLE;LOL;JA, JA;
SNORT;PRUST;ふふん;RRRH;UFFA;RESOPLIDO;
HUMPH;HMPF;ふん;HOUF;AUF;HUMF;
HEY;HEY;ヘイ;HE;EHILALÀ;EH;
HE-HE-HE;HEHEHE;へっへっへ;HEHEHE;EH EH EH;JE, JEE, JE;
HEH;HAH;へへ;HEEEE;EH;EEH;
HOHOHO;HOHOHO;ほほほ;HO HO HO;OHOHOH;OH, JO, JO;
THERE YOU GO;OH, KLASSE!;ほら;VOILA;ECCOTI QUA!;AHÍ TIENES;
OH, DEAR;MEINE GÜTE;まあ;DIS DONC;OH, CIELO;MADRE MÍA;
BYE FOR NOW;BIS SPÄTER;またね;A PLUS TARD;PER ORA CIAO;HASTA OTRA;
ANGRY;WÜTEND;むきー;ENRAGE;CHE RABBIA;ENFADADO;
MUFUFU;HIHIHI;むふふ;MOUAHAHA;MUFUFU;MUFUFU;
MMM;MMMH;むむ;RICTUS;MMM...;MMMM;
HELLO?;JA, BITTE?;もしもし;QUI EST LA?;PRONTO?;¿ME OYES?;
HI THERE;HALLO, DU;やあ;SALUT TOI;SALVE;¿QUÉ HAY?;
NO WAY;NIEMALS!;やだよ;PAS QUESTION;NON CI STO;NI LO SUEÑES;
YAHOO;JUCHUU;やっほー;HOUHOU;AHÒ!;HURRAAA;
YO;JEPP;よう;YO;YO;HEEY;
WELCOME;KOMM REIN;ようこそ;BIENVENUE!;ACCOMODATI;BIENVENIDO;
OK;FEIN;よし;BIEN;ALLA GRANDE;DE ACUERDO;
REGARDS;ZÄHLEN AUF;よろしく;C'EST ÇA;TANTI SALUTI;RECUERDOS;
LALALA;LALALA;ラララ;LA LA LA;LALALA;LA, LA, LA;
YAY;JAHA;わーい;YESSS;URRÀ!;CUIDADO;
WAIL;JAMMER;わーん;BOUHOUHOU;LAMENTO;LLANTO;
WOW;JUCHEE;ワオ;WOUHOU;FANTASTICO;PUMBA;
BOO!;BUH!;わっ;ÇA ALORS;BUU!;BUU;
WAHAHA;WUAHAHAHA;わははは;OUHAHAHA;WAHAHA;UEJE, JE;
...;...;……;...;...;...;
@LIFESTYLE;LIFESTYLE;せいかつ;VIE QUOTID.;QUOTIDIANITÀ;VIDA DIARIA;
IDOL;IDOL;アイドル;IDOLE;IDOLO;ÍDOLO;
TOMORROW;MORGEN;あした;DEMAIN;DOMANI;MAÑANA;
PLAYING;SPIELEN;あそび;JOUER;SVAGO;JUGANDO;
ANIME;ANIME;アニメ;DESSIN ANIME;CARTONE;ANIME;
JOB;PFLICHTEN;アルバイト;PETIT BOULOT;PART-TIME;TRABAJO;
SONG;SONG;うた;CHANSON;CANZONE;CANCIÓN;
HOME;HEIM;うち;MAISON;CASA;CASA;
MOVIE;FILM;えいが;FILM;FILM;PELÍCULA;
SWEETS;SÜSSIGKEITEN;おかし;BONBONS;DOLCI;GOLOSINAS;
MONEY;GELD;おかね;ARGENT;SOLDI;DINERO;
POCKET MONEY;TASCHENGELD;おこづかい;ARGENT POCHE;PAGHETTA;PAGA;
CHIT-CHAT;PLAUDERN;おしゃべり;DISCUTER;CHIACCHIERE;CHARLAR;
TALK;UNTERHALTEN;おはなし;DIALOGUE;PARLARE;HABLAR;
BATH;BAD;おふろ;BAIN;BAGNO;BAÑO;
PLAY HOUSE;KINDERSPIEL;おままごと;JEU D'ENFANT;MAMMACASETTA;CASA MUÑECAS;
TOYS;SPIELZEUG;おもちゃ;JOUETS;GIOCATTOLI;JUGUETES;
MUSIC;MUSIK;おんがく;MUSIQUE;MUSICA;MÚSICA;
CARDS;KARTENSPIEL;カード;CARTES;CARTE;TARJETAS;
SHOPPING;EINKAUFEN;かいもの;SHOPPING;SHOPPING;COMPRAS;
CONVERSATION;GESPRÄCH;かいわ;CONVERSATION;DIALOGO;CONVERSACIÓN;
SCHOOL;SCHULE;がっこう;ECOLE;SCUOLA;COLEGIO;
CAMERA;FOTOS;カメラ;PHOTO;MACCH. FOTO;CÁMARA;
VIEWING;BESICHTIGUNG;かんしょう;VISIONNER;AMMIRARE;PANORAMA;
SPECTATE;ZUSCHAUEN;かんせん;REGARDER;ASSISTERE;ASISTIR;
ANNIVERSARY;GEDENKTAG;きねん;COMMEMORER;ANNIVERSARIO;ANIVERSARIO;
YESTERDAY;GESTERN;きのう;HIER;IERI;AYER;
TODAY;HEUTE;きょう;AUJOURD'HUI;OGGI;HOY;
HABIT;GEWOHNHEIT;くせ;HABITUDE;ABITUDINE;HÁBITO;
GROUP;GRUPPE;グループ;GROUPE;GRUPPO;GRUPO;
GOURMET;GOURMET;グルメ;GOURMET;GOURMET;GOURMET;
GAME;SPIEL;ゲーム;JEU;GIOCO;JUEGO;
WORD;WORT;ことば;MOT;PAROLA;PALABRA;
COLLECTION;SAMMLUNG;コレクション;COLLECTION;COLLEZIONE;COLECCIÓN;
STORE;LADEN;コンビニ;MAGASIN;NEGOZIO;TIENDA;
COMPLETE;KOMPLETT;コンプリート;COMPLET;COMPLETO;COMPLETO;
SERVICE;SERVICE;サービス;SERVICE;SERVIZIO;SERVICIO;
MAGAZINE;MAGAZIN;ざっし;MAGAZINE;RIVISTA;REVISTA;
WALK;SPAZIEREN;さんぽ;PROMENADE;CAMMINARE;PASEAR;
WORK;ARBEIT;しごと;TRAVAIL;LAVORO;TRABAJAR;
SYSTEM;SYSTEM;システム;SYSTEME;SISTEMA;SISTEMA;
BICYCLE;FAHRRAD;じてんしゃ;VELO;BICICLETTA;BICICLETA;
TRAINING;TRAINING;しゅぎょう;ENTRAINEMENT;ALLENAMENTO;FORMACIÓN;
CLASS;KLASSE;じゅぎょう;CLASSE;LEZIONE;CLASE;
LESSONS;UNTERRICHT;じゅく;COURS PRIVES;DOPOSCUOLA;LECCIONES;
HOBBY;HOBBY;しゅみ;HOBBY;HOBBY;AFICIÓN;
INFORMATION;INFORMATION;じょうほう;INFORMATIONS;INFORMAZIONI;INFORMACIÓN;
SPORTS;SPORT;スポーツ;SPORT;SPORT;DEPORTES;
DAILY LIFE;ALLTAG;せいかつ;QUOTIDIEN;VITA NORMALE;VIDA DIARIA;
TEACHER;LEHRER;せんせい;PROFESSEUR;INSEGNANTE;PROFESOR;
SOFTWARE;SOFTWARE;ソフト;LOGICIEL;SOFTWARE;PROGRAMA;
SONGS;SONGS;ソング;CHANSONS;CANZONI;CANCIONES;
DIET;NAHRUNG;ダイエット;REGIME;DIETA;DIETA;
TOURNAMENT;TURNIER;たいかい;TOURNOI;TORNEO;TORNEO;
TREASURE;SCHATZ;たから;TRESOR;TESORO;TESORO;
TRAVEL;REISEN;たび;VOYAGES;VIAGGIARE;VIAJAR;
BIRTHDAY;GEBURTSTAG;たんじょうび;ANNIVERSAIRE;COMPLEANNO;CUMPLEAÑOS;
DANCE;TANZEN;ダンス;DANSE;BALLARE;BAILAR;
CHANNEL;TV-SENDER;チャンネル;CHAINE;CANALE;CANAL;
FISHING;ANGELN;つり;PECHE;PESCARE;PESCA;
DATE;VERABREDUNG;デート;RENDEZ-VOUS;APPUNTAMENTO;FECHA;
LETTER;BRIEF;てがみ;LETTRE;LETTERA;CORREO;
EVENT;GESCHEHEN;できごと;EVENEMENT;EVENTO;EVENTO;
DESIGN;DESIGN;デザイン;DESSINER;PROGETTO;DISEÑAR;
DIGITAL;DIGITALES;デジタル;NUMERIQUE;DIGITALE;DIGITAL;
TEST;TEST;テスト;CONTROLE;TEST;EXAMEN;
DEPT. STORE;KAUFHAUS;デパート;EPICERIE;CENTRO COMM.;G. ALMACENES;
TELEVISION;FERNSEHER;テレビ;TELEVISION;TELEVISIONE;TELEVISIÓN;
TRAIN;ZUG;でんしゃ;TRAIN;TRENO;TREN;
PHONE;TELEFON;でんわ;TELEPHONE;TELEFONO;TELÉFONO;
ITEM;ITEM;どうぐ;OBJET;STRUMENTO;OBJETO;
NAME;NAME;なまえ;NOM;NOME;NOMBRE;
NEWS;NEUIGKEITEN;ニュース;NOUVELLES;NOTIZIE;NOTICIAS;
POPULARITY;POPULÄR;にんき;CELEBRITE;POPOLARITÀ;POPULARIDAD;
STUFFED TOY;PLÜSCHPUPPEN;ぬいぐるみ;PELUCHE;PELUCHE;PELUCHE;
PARTY;PARTY;パーティー;FETE;FESTA;FIESTA;
COMPUTER;COMPUTER;パソコン;ORDINATEUR;COMPUTER;PC;
FLOWERS;BLUMEN;はな;FLEURS;FIORI;FLORES;
HERO;HELD;ヒーロー;HEROS;EROE;HÉROE;
NAP;NICKERCHEN;ひるね;SIESTE;PISOLINO;SIESTA;
HEROINE;HELDIN;ヒロイン;CHAMPIONNE;PROTAGONISTA;PROTAGONISTA;
FASHION;MODE;ファッション;MODE;MODA;MODA;
STUDY;LERNEN;べんきょう;ETUDIER;STUDIO;ESTUDIAR;
ADVENTURE;ABENTEUER;ぼうけん;AVENTURE;AVVENTURA;AVENTURA;
BOARD;BRETT;ボード;PLANCHE;TAVOLA;TABLA;
BALL;BALL;ボール;BALLE;PALLA;PELOTA;
BOOK;BÜCHER;ほん;LIVRE;LIBRO;LIBRO;
MACHINE;MASCHINE;マシン;MACHINE;MACCHINA;MÁQUINA;
FESTIVAL;FESTIVALS;まつり;FESTIVAL;FESTIVAL;FESTIVAL;
COMICS;MANGA;まんが;BD;FUMETTI;CÓMICS;
MAIL;POST;メール;COURRIER;MESSAGGIO;CARTA;
MESSAGE;MITTEILUNG;メッセージ;MESSAGE;AVVISO;MENSAJE;
STORY;GESCHICHTE;ものがたり;HISTOIRE;STORIA;HISTORIA;
PROMISE;VERSPRECHEN;やくそく;PROMESSE;PROMESSA;PROMESA;
HOLIDAY;FERIEN;やすみ;VACANCES;VACANZA;VACACIÓN;
DREAM;TRAUM;ゆめ;REVE;SOGNO;SUEÑO;
KINDERGARTEN;KINDERGARTEN;ようちえん;MATERNELLE;ASILO;GUARDERÍA;
PLANS;PLÄNE;よてい;PLANS;PIANI;PLANES;
LIFE;LEBEN;ライフ;VIE;VITA;VIDA;
RADIO;RADIO;ラジオ;RADIO;RADIO;RADIO;
CRAZE;SCHICKIMICKI;りゅうこう;A LA MODE;TENDENZA;LOCURA;
VACATION;URLAUB;りょこう;TOURISME;FERIE;VACACIONES;
LOOKS;AUSSEHEN;ルック;REGARDE;ASPETTO;MIRADAS;
RENTAL;MIETE;レンタル;LOCATION;AFFITTO;ALQUILER;
WORLD;WELT;ワールド;MONDE;MONDO;MUNDO;
@FEELINGS;GEFÜHLE;きもち;EMOTIONS;SENSAZIONI;SENSACIONES;
BEAUTY;SCHÖNHEIT;うつくしさ;BEAUTE;BELLEZZA;BELLEZA;
DELIGHT;GLÜCK;うれしさ;BONHEUR;DILETTO;PLACER;
STRANGENESS;EIGENART;おかしさ;BIZARRE;STRANEZZA;EXTRAÑEZA;
CLEVERNESS;KLUGHEIT;かしこさ;INTELLIGENCE;ACUME;INGENIO;
DISAPPOINTED;ENTTÄUSCHT;がっかり;DEÇU;DELUSO;DECEPCIONADO;
COOLNESS;COOLNESS;かっこよさ;SANG-FROID;CLASSE;CARISMA;
SADNESS;TRAURIGKEIT;かなしさ;TRISTESSE;TRISTEZZA;TRISTEZA;
CUTENESS;ANMUT;かわいさ;GRACE;GRAZIA;DULZURA;
ANGER;WUT;くやしさ;COLERE;DELUSIONE;ENOJO;
HEALTHY;GESUND;げんき;EN FORME;SANO;SANO;
REGRET;BEDAUERN;ざんねん;REGRET;RIMORSO;LAMENTO;
HAPPINESS;FREUDE;しあわせ;JOIE;GIOIA;DICHA;
DEPRESSED;ENTMUTIGT;しょんぼり;DECOURAGE;INFELICE;DEPRIMIDO;
INCREDIBLE;SAGENHAFT;しんじられない;MERVEILLEUX;INCREDIBILE;INCREÍBLE;
LIKES;VORLIEBEN;すき;AIME;PREFERENZA;AFINIDAD;
DISLIKE;HASS;だいきらい;N'AIME PAS;ANTIPATIA;AVERSIÓN;
BORED;GELANGWEILT;たいくつ;ENNUYEUX;ANNOIATO;ABURRIDO;
IMPORTANT;WICHTIG;だいじ;IMPORTANT;IMPORTANTE;IMPORTANTE;
ALL RIGHT;GUT;だいじょうぶ;PARFAIT;VA BENE;CORRECTO;
ADORE;VERGÖTTERN;だいすき;ADORE;ADORARE;ADORAR;
TOUGHNESS;STÄRKE;たくましさ;ROBUSTESSE;GRINTA;DUREZA;
ENJOYMENT;GENUSS;たのしさ;AMUSEMENT;DIVERTIMENTO;DELEITE;
USELESS;NUTZLOS;ダメダメ;SANS INTERET;INUTILE;INÚTIL;
DROOLING;ZERREN;だらだら;ADMIRATIF;FIACCO;BABEAR;
EXCITED;AUFGEREGT;ドキドキ;NERVEUX;EMOZIONATO;EMOCIONADO;
SKILLFUL;GESCHICKT;とくい;HABILE;ABILE;HABILIDOSO;
TEARS;TRÄNEN;なみだ;LARMES;LACRIME;LÁGRIMAS;
HATE;SCHWACHPUNKT;にがて;DETESTE;ODIO;ODIO;
ROFL;LACH PRUST;ばくしょう;RIRE;ROTFL;ME PARTO;
HAPPY;GLÜCKLICH;ハッピー;HEUREUX;FELICE;FELICES;
ENERGETIC;TATKRÄFTIG;バリバリ;ENERGIQUE;ENERGICO;FORMIDABLE;
SURPRISE;ÜBERRASCHUNG;びっくり;SURPRISE;SORPRESA;SORPRESA;
NERVOUS;UNSICHER;ふあん;NERVOSITE;NERVOSO;NERVIOSO;
WANT;MÖCHTE;ほしい;JE VEUX;VOLERE;QUERER;
SATISFIED;ZUFRIEDEN;まんぞく;REJOUI;SODDISFATTO;SATISFECHO;
RARE;SELTEN;めずらしい;RARE;RARO;RARO;
MESSED UP;RUMMS BERST;めちゃめちゃ;DETRUIT;DISPERATO;LIADO;
NO WAY;SICHER NICHT;やだ;NEGATIF;MI RIFIUTO;NI HABLAR;
DANGER;GEFAHR;やばい;DANGER;PERICOLOSO;PELIGRO;
LOVEY-DOVEY;SCHNUCKELIG;ラブラブ;AMOUR;SMANCERIA;TÓRTOLOS;
ANTICIPATION;HOFFNUNG;わくわく;ATTENDU;ASPETTATIVA;ANTICIPACIÓN;
SMILE;LÄCHELN;わらい;SOURIRE;SORRISO;SONRISA;
SUBTLE;RAFFINIERT;びみょう;SUBTIL;DELICATO;SUTIL;
RECOMMEND;EMPFOHLEN;おすすめ;RECOMMANDE;CONSIGLIO;RECOMENDAR;
SIMPLE;EINFACH;かんたん;SIMPLE;SEMPLICE;SIMPLE;
NICE;NETT;ナイス;SYMPA;CARINO;SIMPÁTICA;
DIFFICULT;SCHWIERIG;むずかしい;DIFFICILE;DIFFICILE;DIFÍCIL;
@TOUGH WORDS;HIPPE WORTE;なんかいことば;MOTS SAVANTS;PAROLONE;JERGA;
EARTH TONES;ERDFARBEN;アースカラー;OCRE;COLORI TERRA;TONOS TIERRA;
IMPLANT;PFLANZEN;インプラント;IMPLANT;IMPIANTO;IMPLANTE;
GOLDEN RATIO;GOLDWERT;おうごんひ;ETALON OR;NUMERO AUREO;NÚMERO ÁUREO;
OMNIBUS;OMNIBUS;オムニバス;OMNIBUS;OMNIBUS;ÓMNIBUS;
STARBOARD;STEUERBORD;おもかじ;TRIBORD;TRIBORDO;ESTRIBOR;
MONEY RATE;WECHSELKURS;がいこくかわせ;TAUX;TASSO VALUTA;TIPO CAMBIO;
RESOLUTION;RESOLUTION;かいぞうど;RESOLUTION;RISOLUZIONE;RESOLUCIÓN;
CADENZA;KLASSIK;カデンツァ;CADENCE;CADENZA;CADENCIA;
EDUCATION;SCHULPFLICHT;ぎむきょういく;EDUCATION;ISTRUZIONE;EDUCACIÓN;
CUBISM;KUBISMUS;キュビスム;CUBISME;CUBISMO;CUBISMO;
CROSS-STITCH;KREUZSTICH;クロスステッチ;TRICOT;PUNTO CROCE;PTO. DE CRUZ;
